model,fold,accuracy,precision_1,recall_1,f1_1,support
rf,1,0.9852616064848931,0.9706457925636007,0.9900199600798403,0.9802371541501976,1357
rf,2,0.9100957995578481,0.5973597359735974,1.0,0.7479338842975206,1357
rf,3,1.0,0.0,0.0,0.0,1357
rf,4,0.9963154016212233,0.9769230769230769,0.9844961240310077,0.9806949806949807,1357
rf,5,0.997789240972734,0.9956521739130435,0.9978213507625272,0.9967355821545157,1357
logreg,1,0.6801768607221813,1.0,0.13373253493013973,0.23591549295774647,1357
logreg,2,0.9970523212969786,0.9783783783783784,1.0,0.9890710382513661,1357
logreg,3,1.0,0.0,0.0,0.0,1357
logreg,4,0.9970523212969786,0.9770992366412213,0.9922480620155039,0.9846153846153847,1357
logreg,5,0.9535740604274134,0.9323144104803494,0.9302832244008714,0.9312977099236641,1357
dummy,1,0.6308032424465734,0.0,0.0,0.0,1357
dummy,2,0.866617538688283,0.0,0.0,0.0,1357
dummy,3,1.0,0.0,0.0,0.0,1357
dummy,4,0.9049373618275608,0.0,0.0,0.0,1357
dummy,5,0.6617538688282977,0.0,0.0,0.0,1357
